id,canonical_slug,hugging_face_id,name,created,description,context_length,architecture,per_request_limits,supported_parameters,default_parameters,knowledge_cutoff,expiration_date,prompt_pricing,completion_pricing,max_completion_tokens,is_moderated
google/gemma-4-26b-a4b-it,google/gemma-4-26b-a4b-it-20260403,google/gemma-4-26B-A4B-it,Google: Gemma 4 26B A4B ,1775227989,"Gemma 4 26B A4B IT is an instruction-tuned Mixture-of-Experts (MoE) model from Google DeepMind. Despite 25.2B total parameters, only 3.8B activate per token during inference — delivering near-31B quality at a fraction of the compute cost. Supports multimodal input including text, images, and video (up to 60s at 1fps). Features a 256K token context window, native function calling, configurable thinking/reasoning mode, and structured output support. Released under Apache 2.0.",262144.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Gemma', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'max_tokens', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 1, 'top_p': 0.95, 'top_k': 64}",,,0.00000013,0.0000004,262144.0,False
google/gemma-4-31b-it,google/gemma-4-31b-it-20260402,google/gemma-4-31B-it,Google: Gemma 4 31B,1775148486,"Gemma 4 31B Instruct is Google DeepMind's 30.7B dense multimodal model supporting text and image input with text output. Features a 256K token context window, configurable thinking/reasoning mode, native function calling, and multilingual support across 140+ languages. Strong on coding, reasoning, and document understanding tasks. Apache 2.0 license.",262144.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Gemma', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'max_tokens', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 1, 'top_p': 0.95, 'top_k': 64, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.00000014,0.0000004,131072.0,False
qwen/qwen3.6-plus:free,qwen/qwen3.6-plus-04-02,,Qwen: Qwen3.6 Plus (free),1775133557,"Qwen 3.6 Plus builds on a hybrid architecture that combines efficient linear attention with sparse mixture-of-experts routing, enabling strong scalability and high-performance inference. Compared to the 3.5 series, it delivers major gains in agentic coding, front-end development, and overall reasoning, with a significantly improved “vibe coding” experience. The model excels at complex tasks such as 3D scenes, games, and repository-level problem solving, achieving a 78.8 score on SWE-bench Verified. It represents a substantial leap in both pure-text and multimodal capabilities, performing at the level of leading state-of-the-art models.",1000000.0,"{'modality': 'text+image+video->text', 'input_modalities': ['text', 'image', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Qwen3', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'presence_penalty', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0,0,65536.0,False
z-ai/glm-5v-turbo,z-ai/glm-5v-turbo-20260401,,Z.ai: GLM 5V Turbo,1775061458,"GLM-5V-Turbo is Z.ai’s first native multimodal agent foundation model, built for vision-based coding and agent-driven tasks. It natively handles image, video, and text inputs, excels at long-horizon planning, complex coding, and task execution, and works seamlessly with agents to complete the full loop of “perceive → plan → execute“.",202752.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': 1, 'top_p': 0.95, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.0000012,0.000004,131072.0,False
arcee-ai/trinity-large-thinking,arcee-ai/trinity-large-thinking,arcee-ai/Trinity-Large-Thinking,Arcee AI: Trinity Large Thinking,1775058318,"Trinity Large Thinking is a powerful open source reasoning model from the team at Arcee AI. It shows strong performance in PinchBench, agentic workloads, and reasoning tasks. It is free in open claw for the first five days. Launch video: https://youtu.be/Gc82AXLa0Rg?si=4RLn6WBz33qT--B7",262144.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'max_tokens', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 0.3, 'top_p': 0.8, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.00000022,0.00000085,262144.0,False
x-ai/grok-4.20-multi-agent,x-ai/grok-4.20-multi-agent-20260309,,xAI: Grok 4.20 Multi-Agent,1774979158,"Grok 4.20 Multi-Agent is a variant of xAI’s Grok 4.20 designed for collaborative, agent-based workflows. Multiple agents operate in parallel to conduct deep research, coordinate tool use, and synthesize information across complex tasks.

Reasoning effort behavior:
- low / medium: 4 agents
- high / xhigh: 16 agents",2000000.0,"{'modality': 'text+image+file->text', 'input_modalities': ['text', 'image', 'file'], 'output_modalities': ['text'], 'tokenizer': 'Grok', 'instruct_type': None}",,"['include_reasoning', 'logprobs', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'temperature', 'top_logprobs', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",2025-09-01,,0.000002,0.000006,,False
x-ai/grok-4.20,x-ai/grok-4.20-20260309,,xAI: Grok 4.20,1774979019,"Grok 4.20 is xAI's newest flagship model with industry-leading speed and agentic tool calling capabilities. It combines the lowest hallucination rate on the market with strict prompt adherance, delivering consistently precise and truthful responses.

Reasoning can be enabled/disabled using the `reasoning` `enabled` parameter in the API. [Learn more in our docs](https://openrouter.ai/docs/use-cases/reasoning-tokens#controlling-reasoning-tokens)",2000000.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'Grok', 'instruct_type': None}",,"['include_reasoning', 'logprobs', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",2025-09-01,,0.000002,0.000006,,False
google/lyria-3-pro-preview,google/lyria-3-pro-preview-20260330,,Google: Lyria 3 Pro Preview,1774907286,"Full-length songs are priced at $0.08 per song. Lyria 3 is Google's family of music generation models, available through the Gemini API. With Lyria 3, you can generate high-quality, 48kHz stereo audio from text prompts or from images. These models deliver structural coherence, including vocals, timed lyrics, and full instrumental arrangements. Lyria 3 Pro can generate full-length songs with verses, choruses, bridges.",1048576.0,"{'modality': 'text+image->text+audio', 'input_modalities': ['text', 'image'], 'output_modalities': ['text', 'audio'], 'tokenizer': 'Other', 'instruct_type': None}",,"['max_tokens', 'response_format', 'seed', 'temperature', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0,0,65536.0,False
google/lyria-3-clip-preview,google/lyria-3-clip-preview-20260330,,Google: Lyria 3 Clip Preview,1774907255,"30 second duration clips are priced at $0.04 per clip. Lyria 3 is Google's family of music generation models, available through the Gemini API. With Lyria 3, you can generate high-quality, 48kHz stereo audio from text prompts or from images. These models deliver structural coherence, including vocals, timed lyrics, and full instrumental arrangements. Lyria 3 Clip can generate short clips, loops, previews.",1048576.0,"{'modality': 'text+image->text+audio', 'input_modalities': ['text', 'image'], 'output_modalities': ['text', 'audio'], 'tokenizer': 'Other', 'instruct_type': None}",,"['max_tokens', 'response_format', 'seed', 'temperature', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0,0,65536.0,False
kwaipilot/kat-coder-pro-v2,kwaipilot/kat-coder-pro-v2-20260327,,Kwaipilot: KAT-Coder-Pro V2,1774649310,"KAT-Coder-Pro V2 is the latest high-performance model in KwaiKAT’s KAT-Coder series, designed for complex enterprise-grade software engineering and SaaS integration. It builds on the agentic coding strengths of earlier versions, with a focus on large-scale production environments, multi-system coordination, and seamless integration across modern software stacks, while also supporting web aesthetics generation to produce production-grade landing pages and presentation decks.",256000.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'logit_bias', 'max_tokens', 'min_p', 'presence_penalty', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.0000003,0.0000012,80000.0,False
